,date,closing_price
0,2022-06-14 04:00:00,132.76
1,2022-06-15 04:00:00,135.43
2,2022-06-16 04:00:00,130.06
3,2022-06-17 04:00:00,131.56
4,2022-06-21 04:00:00,135.87
5,2022-06-22 04:00:00,135.35
6,2022-06-23 04:00:00,138.27
7,2022-06-24 04:00:00,141.66
8,2022-06-27 04:00:00,141.66
9,2022-06-28 04:00:00,137.44
10,2022-06-29 04:00:00,139.23
11,2022-06-30 04:00:00,136.72
12,2022-07-01 04:00:00,138.93
13,2022-07-05 04:00:00,141.56
14,2022-07-06 04:00:00,142.92
15,2022-07-07 04:00:00,146.35
16,2022-07-08 04:00:00,147.04
17,2022-07-11 04:00:00,144.87
18,2022-07-12 04:00:00,145.86
19,2022-07-13 04:00:00,145.49
20,2022-07-14 04:00:00,148.47
21,2022-07-15 04:00:00,150.17
22,2022-07-18 04:00:00,147.07
23,2022-07-19 04:00:00,151.0
24,2022-07-20 04:00:00,153.04
25,2022-07-21 04:00:00,155.35
26,2022-07-22 04:00:00,154.09
27,2022-07-25 04:00:00,152.95
28,2022-07-26 04:00:00,151.6
29,2022-07-27 04:00:00,156.79
30,2022-07-28 04:00:00,157.35
31,2022-07-29 04:00:00,162.51
32,2022-08-01 04:00:00,161.51
33,2022-08-02 04:00:00,160.01
34,2022-08-03 04:00:00,166.13
35,2022-08-04 04:00:00,165.81
36,2022-08-05 04:00:00,165.35
37,2022-08-08 04:00:00,164.87
38,2022-08-09 04:00:00,164.92
39,2022-08-10 04:00:00,169.24
40,2022-08-11 04:00:00,168.49
41,2022-08-12 04:00:00,172.1
42,2022-08-15 04:00:00,173.19
43,2022-08-16 04:00:00,173.03
44,2022-08-17 04:00:00,174.55
45,2022-08-18 04:00:00,174.15
46,2022-08-19 04:00:00,171.52
47,2022-08-22 04:00:00,167.57
48,2022-08-23 04:00:00,167.23
49,2022-08-24 04:00:00,167.53
50,2022-08-25 04:00:00,170.03
51,2022-08-26 04:00:00,163.62
52,2022-08-29 04:00:00,161.38
53,2022-08-30 04:00:00,158.91
54,2022-08-31 04:00:00,157.22
55,2022-09-01 04:00:00,157.96
56,2022-09-02 04:00:00,155.81
57,2022-09-06 04:00:00,154.53
58,2022-09-07 04:00:00,155.96
59,2022-09-08 04:00:00,154.46
60,2022-09-09 04:00:00,157.37
61,2022-09-12 04:00:00,163.43
62,2022-09-13 04:00:00,153.84
63,2022-09-14 04:00:00,155.31
64,2022-09-15 04:00:00,152.37
65,2022-09-16 04:00:00,150.7
66,2022-09-19 04:00:00,154.48
67,2022-09-20 04:00:00,156.9
68,2022-09-21 04:00:00,153.72
69,2022-09-22 04:00:00,152.74
70,2022-09-23 04:00:00,150.43
71,2022-09-26 04:00:00,150.77
72,2022-09-27 04:00:00,151.76
73,2022-09-28 04:00:00,149.84
74,2022-09-29 04:00:00,142.48
75,2022-09-30 04:00:00,138.2
76,2022-10-03 04:00:00,142.45
77,2022-10-04 04:00:00,146.1
78,2022-10-05 04:00:00,146.4
79,2022-10-06 04:00:00,145.43
80,2022-10-07 04:00:00,140.09
81,2022-10-10 04:00:00,140.42
82,2022-10-11 04:00:00,138.98
83,2022-10-12 04:00:00,138.34
84,2022-10-13 04:00:00,142.99
85,2022-10-14 04:00:00,138.38
86,2022-10-17 04:00:00,142.41
87,2022-10-18 04:00:00,143.75
88,2022-10-19 04:00:00,143.86
89,2022-10-20 04:00:00,143.39
90,2022-10-21 04:00:00,147.27
91,2022-10-24 04:00:00,149.45
92,2022-10-25 04:00:00,152.34
93,2022-10-26 04:00:00,149.35
94,2022-10-27 04:00:00,144.8
95,2022-10-28 04:00:00,155.74
96,2022-10-31 04:00:00,153.34
97,2022-11-01 04:00:00,150.65
98,2022-11-02 04:00:00,145.03
